,form_submission,form_created,embed_form_in_notion_click,subscribed,form_saved,create_form_database_chosen,open_form_click,edit_form_click,save_form_click,create_form_click,paid_plans_buy_pro_click,nav_pricing_click,paying,cluster
25417.0,0,1,0,1,3,2,0,6,3,2,1,1,1,0
26018.0,0,1,0,1,3,1,0,5,3,1,1,3,1,0
19795.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
25143.0,1,1,1,1,18,2,1,21,19,1,0,1,1,0
25231.0,39,0,3,0,42,0,15,62,46,0,0,0,1,2
17137.0,34,5,5,1,34,7,23,43,43,6,5,4,1,2
21156.0,2,0,5,1,14,1,1,15,15,3,1,2,1,0
15880.0,0,8,0,1,35,13,12,51,35,18,4,1,1,2
26531.0,0,1,0,3,0,4,0,0,0,8,1,4,1,0
16546.0,0,1,1,1,14,0,9,16,14,0,1,0,1,0
17221.0,0,5,1,1,6,11,0,11,6,6,1,1,1,0
21669.0,77,2,2,1,59,3,7,75,60,3,1,2,1,2
21843.0,0,1,0,1,3,3,0,3,3,0,1,1,1,0
16687.0,1,1,2,0,30,1,0,36,30,1,0,0,1,2
26779.0,1,1,0,1,15,2,4,16,15,1,2,2,1,0
26932.0,2,3,3,1,4,9,0,6,4,3,1,0,1,0
21281.0,6,4,1,1,10,10,6,33,10,10,1,5,1,0
14654.0,0,1,1,1,3,2,2,7,3,1,0,1,1,0
17264.0,0,1,3,1,36,2,1,43,36,3,0,0,1,2
23037.0,11,1,0,1,23,1,2,29,29,0,3,1,1,2
24746.0,2,1,0,1,15,3,5,19,15,0,1,1,1,0
25323.0,0,3,4,1,9,12,3,14,9,5,1,1,1,0
25857.0,2,3,0,1,12,8,0,15,15,3,1,1,1,0
22386.0,0,2,1,1,5,5,0,6,5,1,1,0,1,0
23011.0,0,2,0,1,20,3,1,29,20,1,0,2,1,0
21803.0,3,0,0,1,7,0,4,8,7,0,1,0,1,0
18845.0,0,1,1,1,5,3,1,5,5,6,1,0,1,0
20364.0,1,0,1,1,4,1,1,4,5,0,0,0,1,0
15432.0,0,0,1,1,9,0,0,10,9,0,2,3,1,0
24990.0,4,1,0,1,69,2,5,92,127,3,1,2,1,2
25273.0,13,0,0,1,37,0,1,41,37,0,0,0,1,2
24460.0,4,2,1,1,15,6,6,17,16,3,3,3,1,0
15763.0,7,5,2,1,21,31,3,32,24,12,1,1,1,2
24362.0,8,1,3,1,10,2,11,10,23,3,1,0,1,0
22843.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
26392.0,3,1,1,1,8,1,3,8,8,1,0,1,1,0
22455.0,0,3,0,1,7,6,3,10,7,5,3,4,1,0
26378.0,1,3,3,1,33,7,1,40,33,8,0,3,1,2
18342.0,0,1,0,1,10,10,0,11,16,6,2,11,1,0
16686.0,0,1,0,1,4,2,0,4,4,0,2,2,1,0
19200.0,0,1,0,1,9,1,0,11,9,2,1,2,1,0
24573.0,1,1,1,1,19,1,10,21,19,1,5,7,1,0
14449.0,0,2,0,1,1,3,0,4,1,3,0,0,1,0
17334.0,0,0,0,1,21,0,0,24,23,0,0,0,1,0
19654.0,1,1,1,1,5,1,0,6,5,2,1,3,1,0
16862.0,0,1,3,1,10,2,6,22,14,1,1,6,1,0
15062.0,0,0,1,1,1,0,2,3,1,1,1,2,1,0
23265.0,0,1,1,1,3,2,0,3,3,0,1,1,1,0
19129.0,10,0,0,1,11,0,0,12,11,0,1,1,1,0
19390.0,0,5,7,2,8,5,0,8,8,8,2,3,1,0
26829.0,0,1,0,1,2,4,0,2,2,0,1,0,1,0
14187.0,0,3,4,1,4,10,0,5,4,7,2,2,1,0
18506.0,7,4,0,1,20,6,11,26,20,7,2,1,1,0
15388.0,0,2,7,1,12,5,4,17,12,11,1,4,1,0
19803.0,6,8,7,1,45,9,0,51,45,8,1,2,1,2
16921.0,0,1,1,1,9,3,0,9,9,1,1,1,1,0
15835.0,0,4,0,1,36,5,34,36,36,4,1,0,1,2
21453.0,4,12,2,1,15,16,0,20,15,11,2,0,1,0
24303.0,5,2,0,1,8,1,0,10,8,1,0,0,1,0
23652.0,1,3,4,1,2,7,1,5,2,4,1,0,1,0
23952.0,3,2,1,1,17,2,2,21,17,1,1,1,1,0
23677.0,0,1,0,1,13,3,3,13,13,6,0,0,1,0
21015.0,2,2,2,1,41,3,13,61,44,4,1,1,1,2
21161.0,2,1,3,1,25,2,3,32,25,1,1,3,1,2
26235.0,3,2,0,1,5,4,1,8,5,3,0,0,1,0
17030.0,1,5,0,1,4,11,0,7,5,12,1,6,1,0
18040.0,0,3,2,1,12,4,0,16,12,9,1,2,1,0
19507.0,1,1,1,1,2,4,1,5,2,4,2,3,1,0
17157.0,1,5,0,1,16,8,0,20,16,7,0,0,1,0
26117.0,3,1,1,1,26,1,8,28,26,0,2,2,1,2
18015.0,0,2,1,1,8,3,1,10,8,1,1,3,1,0
18119.0,2,3,2,1,44,2,1,66,44,2,1,0,1,2
20709.0,2,1,1,1,7,3,0,4,7,1,1,1,1,0
24763.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
15193.0,1,7,2,1,28,19,11,41,28,15,1,0,1,2
21875.0,0,2,10,1,23,6,3,50,23,5,1,0,1,2
18280.0,7,5,8,1,44,14,4,54,53,10,1,3,1,2
22220.0,2,2,0,1,5,7,0,6,5,6,1,2,1,0
18956.0,58,7,0,1,6,16,0,6,6,9,1,1,1,0
15023.0,0,3,4,1,12,7,2,20,12,5,2,2,1,0
23909.0,2,3,0,1,18,17,1,19,20,3,1,2,1,0
17500.0,0,0,0,1,7,0,0,6,7,0,1,0,1,0
16629.0,0,0,0,1,24,0,11,24,25,0,0,0,1,0
21982.0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
26261.0,0,3,0,1,5,8,0,11,6,4,1,6,1,0
15627.0,0,1,1,1,8,1,0,8,8,0,1,2,1,0
25624.0,2,1,0,1,3,2,1,4,3,2,2,1,1,0
15402.0,0,1,2,1,10,1,2,17,11,1,1,2,1,0
20343.0,1,1,0,1,4,2,3,5,4,0,1,1,1,0
20854.0,2,6,4,1,18,12,1,21,18,5,1,2,1,0
22546.0,3,1,1,1,15,5,0,23,15,1,2,2,1,0
20336.0,8,5,3,1,9,9,5,14,10,10,1,4,1,0
16974.0,0,1,1,1,11,2,0,12,11,0,2,3,1,0
17433.0,0,0,0,1,3,0,1,4,3,0,0,0,1,0
18354.0,0,1,1,1,4,1,0,7,4,1,1,2,1,0
19834.0,3,2,0,1,8,4,1,8,8,4,2,1,1,0
23613.0,3,1,1,1,7,2,8,15,8,1,1,3,1,0
25409.0,2,2,0,1,4,2,0,7,6,2,0,0,1,0
22476.0,5,0,0,0,0,0,4,1,0,0,0,0,1,0
24377.0,3,1,0,1,2,2,1,2,2,0,1,1,1,0
20910.0,0,1,0,1,6,1,0,7,6,0,1,1,1,0
20911.0,0,2,0,1,8,3,0,8,8,2,1,0,1,0
24069.0,0,1,1,1,4,2,1,5,6,1,0,1,1,0
26493.0,3,1,0,1,6,1,2,6,6,0,1,1,1,0
14071.0,0,2,0,1,4,2,6,4,4,1,1,1,1,0
21012.0,1,1,0,1,22,4,13,24,22,1,1,0,1,0
20984.0,1,0,0,1,16,2,1,24,16,2,3,2,1,0
19310.0,23,6,1,1,33,19,5,48,33,15,1,1,1,2
16645.0,0,1,0,1,0,1,1,3,0,1,0,0,1,0
14999.0,0,0,3,1,7,0,0,10,7,0,0,0,1,0
22401.0,5,1,0,0,34,3,3,50,37,3,0,1,1,2
24560.0,0,1,0,1,3,4,0,1,3,2,1,0,1,0
24618.0,2,2,0,1,9,4,0,12,9,4,1,0,1,0
24381.0,2,1,1,1,7,3,0,7,7,0,1,0,1,0
21425.0,3,1,1,1,22,3,8,18,23,2,3,0,1,0
22953.0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
25659.0,2,2,1,1,7,8,13,10,7,5,3,3,1,0
23972.0,0,1,0,1,5,3,2,13,5,2,0,1,1,0
15574.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
18587.0,7,2,1,1,16,8,4,19,16,12,2,4,1,0
15768.0,0,4,0,1,7,4,4,7,7,5,1,1,1,0
14693.0,0,1,1,1,12,1,0,14,13,1,1,0,1,0
20958.0,0,1,0,1,2,1,0,2,2,1,1,0,1,0
17035.0,0,4,10,1,18,6,2,23,18,5,1,1,1,0
21178.0,1,1,0,0,0,3,1,0,0,2,1,3,1,0
21089.0,6,3,1,1,14,3,8,18,14,6,1,6,1,0
17657.0,0,1,0,1,10,1,3,13,10,0,1,0,1,0
17659.0,0,1,1,1,2,4,0,2,2,0,1,1,1,0
23963.0,0,2,2,1,16,5,0,16,18,1,2,1,1,0
22942.0,1,0,0,0,9,0,0,13,9,0,0,0,1,0
22501.0,1,3,0,1,2,4,0,4,2,4,1,1,1,0
20094.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
26074.0,0,1,1,1,7,0,3,13,7,0,1,0,1,0
24739.0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
17574.0,0,0,0,1,3,0,0,4,4,0,1,1,1,0
25256.0,0,3,0,1,6,3,0,6,7,3,2,3,1,0
23591.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
20906.0,1,0,0,1,7,0,1,9,7,0,0,0,1,0
26766.0,9,3,0,1,24,4,2,33,27,2,3,1,1,2
14533.0,0,1,1,1,5,1,0,5,5,1,1,1,1,0
17061.0,0,1,3,1,2,1,0,2,2,2,0,0,1,0
25905.0,0,0,0,1,1,0,0,2,1,0,0,0,1,0
26894.0,0,1,1,1,3,1,0,3,3,4,1,0,1,0
21006.0,2,2,1,1,5,4,0,6,5,2,1,0,1,0
14048.0,0,0,0,0,2,0,2,2,2,0,0,0,1,0
20588.0,1,0,0,1,0,0,0,1,0,0,1,4,1,0
19013.0,1,0,1,1,0,0,0,2,0,0,2,0,1,0
22247.0,7,3,2,1,4,5,0,4,4,3,1,1,1,0
25892.0,0,1,1,1,0,1,0,0,0,1,0,0,1,0
15156.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
21019.0,2,1,0,1,2,1,1,2,2,0,1,0,1,0
23146.0,4,2,0,1,0,5,5,0,0,3,0,0,1,0
15569.0,0,1,0,1,10,1,1,10,10,0,1,0,1,0
19288.0,0,0,2,1,8,0,0,10,8,0,3,2,1,0
16752.0,0,0,1,1,9,0,0,10,10,0,0,1,1,0
17525.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16137.0,0,5,0,1,17,6,10,24,17,5,1,1,1,0
16859.0,1,2,1,1,17,4,0,20,17,5,1,3,1,0
19840.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
17672.0,0,1,0,1,4,1,1,4,4,1,2,2,1,0
25580.0,0,1,0,1,3,2,1,5,3,2,0,0,1,0
15141.0,0,0,0,1,3,0,0,3,3,0,0,1,1,0
14147.0,0,1,0,1,1,1,1,3,1,1,1,0,1,0
15218.0,0,1,0,0,0,4,0,1,0,0,0,0,1,0
15306.0,0,0,1,1,0,1,0,0,0,1,1,2,1,0
17090.0,0,1,0,1,1,1,0,2,1,1,1,0,1,0
25312.0,1,0,0,1,9,0,0,10,9,0,1,1,1,0
17499.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
26790.0,2,1,1,1,0,2,0,0,0,0,1,1,1,0
15970.0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
25198.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
17055.0,0,0,0,1,0,0,0,0,0,0,2,2,1,0
17208.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
26236.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
13936.0,0,4,6,1,3,4,0,7,3,4,0,0,1,0
24694.0,2,1,0,1,2,3,1,3,2,3,1,2,1,0
22443.0,1,1,2,1,5,2,0,5,5,1,1,1,1,0
21552.0,0,1,0,1,2,1,2,3,2,0,1,1,1,0
18645.0,0,1,0,1,1,0,0,1,1,0,1,1,1,0
15166.0,0,1,1,1,0,2,0,0,0,1,0,0,1,0
22205.0,1,1,0,1,3,1,0,4,3,1,1,1,1,0
18672.0,1,0,2,0,7,0,0,7,9,0,1,1,0,0
18747.0,15,4,1,1,33,4,1,38,36,2,1,1,0,2
15595.0,4,9,5,0,159,21,11,172,159,12,0,2,0,2
19653.0,78,19,15,0,131,20,14,176,137,20,0,0,0,2
21049.0,17,7,4,0,22,14,3,34,22,12,0,0,0,2
25548.0,0,1,1,0,3,1,0,4,3,0,0,0,0,0
25640.0,0,1,0,0,17,1,0,20,17,0,0,1,0,0
25971.0,10,6,1,0,11,11,23,17,11,8,0,6,0,0
26058.0,1,0,0,1,1,1,2,33,1,3,0,0,0,0
26217.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26328.0,1,1,0,0,0,7,0,0,0,3,0,0,0,0
26613.0,0,2,0,0,10,3,1,13,10,1,0,0,0,0
26672.0,1,2,0,0,1,5,0,1,1,4,0,0,0,0
26714.0,4,1,0,0,12,2,8,13,15,1,0,0,0,0
26799.0,0,0,0,0,2,0,0,2,2,0,0,0,0,0
14307.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14314.0,0,20,20,0,40,22,5,75,40,27,0,3,0,2
14319.0,0,1,0,0,2,1,0,2,2,1,0,1,0,0
21269.0,4,0,0,0,3,0,2,3,3,0,0,0,0,0
22029.0,0,2,0,0,1,2,0,1,1,3,0,0,0,0
22054.0,0,2,0,1,1,17,0,3,1,16,1,5,0,0
23203.0,26,0,3,0,4,0,0,5,4,0,0,2,0,0
25290.0,1,4,3,0,5,6,2,7,5,3,0,0,0,0
25689.0,5,1,0,0,2,6,0,2,3,3,0,0,0,0
26511.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
26792.0,0,1,2,0,4,1,0,4,4,1,0,0,0,0
26795.0,2,1,0,0,3,2,0,7,4,2,0,1,0,0
17092.0,9,2,0,0,0,3,0,2,0,2,0,0,0,0
17806.0,4,9,2,0,18,14,2,23,18,15,1,0,0,0
16318.0,0,1,0,0,3,4,0,3,3,0,0,0,0,0
14298.0,0,4,0,0,11,18,9,15,11,10,0,0,0,0
14304.0,0,2,0,0,1,3,0,1,1,3,0,0,0,0
23255.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0
15022.0,0,1,1,0,4,1,0,4,4,0,0,1,0,0
15281.0,0,0,0,0,2,0,0,1,2,1,0,0,0,0
16886.0,0,4,13,0,19,5,5,43,21,0,1,2,0,2
16889.0,0,3,1,0,11,7,1,18,12,4,0,1,0,0
14419.0,0,0,0,0,0,3,0,1,0,3,0,0,0,0
14660.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
15177.0,0,1,1,0,5,3,0,7,5,2,0,0,0,0
22415.0,1,1,0,0,0,2,0,1,0,4,0,2,0,0
23254.0,2,0,1,0,4,0,2,4,4,0,0,1,0,0
14587.0,0,1,1,0,0,2,1,0,0,4,0,0,0,0
14594.0,0,2,4,0,2,2,1,3,2,1,0,0,0,0
14624.0,0,3,0,0,5,3,1,8,5,2,0,2,0,0
15059.0,0,4,0,0,1,5,1,3,1,6,0,1,0,0
16890.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
15301.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
15326.0,1,1,1,0,2,1,0,3,2,3,0,0,0,0
15328.0,0,2,2,0,2,2,0,2,2,1,0,0,0,0
17068.0,0,2,0,1,38,2,0,47,38,3,1,2,0,2
17070.0,0,3,0,0,15,8,0,17,15,4,0,0,0,0
17077.0,0,1,1,0,0,2,0,0,0,1,0,0,0,0
14013.0,0,6,3,0,1,9,0,3,1,26,0,0,0,0
14326.0,0,1,0,0,0,5,0,0,0,6,0,5,0,0
14506.0,0,1,2,0,5,2,0,7,5,1,0,0,0,0
19381.0,0,8,5,0,7,11,0,13,8,17,0,1,0,0
19579.0,10,3,0,0,17,5,5,19,22,4,0,0,0,0
20673.0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
21290.0,16,1,2,1,33,1,0,44,36,1,1,2,0,2
21330.0,0,2,0,0,11,2,0,12,12,2,0,0,0,0
25407.0,0,2,0,0,0,3,2,2,0,1,0,0,0,0
25502.0,0,1,0,0,3,4,1,3,5,0,0,0,0,0
25503.0,0,1,0,0,2,1,0,2,2,2,0,0,0,0
16599.0,0,0,1,0,0,2,0,0,0,2,0,0,0,0
13796.0,0,2,2,0,4,4,1,5,4,5,0,0,0,0
14391.0,0,1,0,0,1,1,0,1,1,4,0,0,0,0
14428.0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
14494.0,86,1,1,0,3,3,3,13,3,3,0,16,0,0
14498.0,0,1,1,1,7,1,2,9,7,0,3,2,0,0
15901.0,0,1,0,0,0,2,0,0,0,1,0,0,0,0
16595.0,0,2,1,0,6,3,1,8,6,1,0,1,0,0
16905.0,0,1,4,0,11,7,1,17,13,1,0,0,0,0
17013.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17069.0,0,1,0,0,9,1,0,11,13,0,0,1,0,0
17075.0,0,0,0,0,0,1,0,0,0,0,2,3,0,0
23829.0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
24789.0,2,1,0,0,3,1,0,3,3,2,0,0,0,0
25510.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25511.0,1,0,0,0,1,0,1,2,1,0,0,0,0,0
18358.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19375.0,0,1,0,0,0,4,0,0,0,1,0,0,0,0
20596.0,1,1,5,1,7,1,2,8,7,1,1,2,0,0
21344.0,0,1,1,0,2,4,0,3,2,0,0,0,0,0
21345.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
21347.0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
21348.0,25,3,0,0,9,4,14,8,9,2,0,1,0,0
16953.0,51,30,0,0,257,67,4,356,287,60,1,0,0,1
19136.0,2,3,2,0,12,9,0,27,12,8,0,1,0,0
20145.0,4,4,0,0,12,6,7,19,13,5,0,1,0,0
21071.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21439.0,1,1,0,0,0,2,0,0,0,1,0,1,0,0
21504.0,1,0,0,0,4,0,1,3,4,0,0,0,0,0
21640.0,2,2,1,0,0,5,1,1,0,5,0,0,0,0
21648.0,1,1,0,0,2,5,0,2,2,1,0,0,0,0
21650.0,0,1,1,0,0,2,0,0,0,1,0,0,0,0
15958.0,0,4,2,0,8,6,0,13,8,6,0,0,0,0
16335.0,0,3,0,0,4,14,0,4,4,6,0,0,0,0
16447.0,0,4,1,0,20,9,14,27,21,11,1,1,0,0
16452.0,0,1,1,0,4,4,4,4,4,0,0,0,0,0
16454.0,0,1,1,0,0,7,0,0,0,3,0,0,0,0
16763.0,23,3,5,0,13,6,8,35,13,13,0,5,0,0
17321.0,23,2,0,1,12,11,34,28,21,10,2,2,0,0
18261.0,0,2,1,0,4,5,1,4,4,6,0,0,0,0
18449.0,17,1,0,1,34,2,28,43,36,1,1,0,0,2
18644.0,0,6,0,0,15,7,3,22,17,11,0,0,0,0
19399.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
19403.0,2,0,1,0,0,1,0,2,0,1,0,1,0,0
17534.0,0,1,1,0,8,1,0,12,8,2,0,1,0,0
17649.0,20,6,0,0,36,7,1,46,37,6,0,0,0,2
18911.0,11,1,0,0,76,1,7,81,79,2,0,0,0,2
